language,text_size,pattern_size,case_type,run_number,execution_time_seconds
C,10000,10,worst,13,6.6e-08
C,10000,10,worst,14,9.3e-08
C,10000,10,worst,15,1.07e-07
C,10000,10,worst,16,9.1e-08
C,10000,10,worst,17,8.2e-08
C,10000,10,worst,18,8.3e-08
C,10000,10,worst,19,6.1e-08
C,10000,10,worst,20,6.7e-08
C,10000,10,worst,21,7e-08
C,10000,10,worst,22,9e-08
C,10000,10,worst,23,1.05e-07
C,10000,10,worst,24,6.7e-08
C,10000,10,worst,25,5.9e-08
Python,10000,50,best,1,0.0017215469997609034
Python,10000,50,best,2,0.0016812349999781873
Python,10000,50,best,3,0.0019135849997837795
Python,10000,50,best,4,0.0032668720000401663
Python,10000,50,best,5,0.0018444299998918723
Python,10000,50,best,6,0.0018744009998954425
Python,10000,50,best,7,0.0025278729999627103
Python,10000,50,best,8,0.0038404530000661907
Python,10000,50,best,9,0.0032590860000709654
Python,10000,50,best,10,0.0031852430001890752
Python,10000,50,best,11,0.0030724889998055005
Python,10000,50,best,12,0.003107762000126968
Python,10000,50,best,13,0.00313615100003517
Python,10000,50,best,14,0.0017295089996878232
Python,10000,50,best,15,0.0017785300001378346
Python,10000,50,best,16,0.0017478569998274907
Python,10000,50,best,17,0.0017279089997828123
Python,10000,50,best,18,0.0017112519999500364
Python,10000,50,best,19,0.0017080789998544788
Python,10000,50,best,20,0.0017190949997711868
Python,10000,50,best,21,0.001738797000143677
Python,10000,50,best,22,0.001714834999802406
Python,10000,50,best,23,0.0017151370002466138
Python,10000,50,best,24,0.0017204920000040147
Python,10000,50,best,25,0.001697093000075256
C,10000,50,best,1,8.8e-08
C,10000,50,best,2,7e-08
C,10000,50,best,3,8.8e-08
C,10000,50,best,4,7.1e-08
C,10000,50,best,5,6e-08
C,10000,50,best,6,9.6e-08
C,10000,50,best,7,1.12e-07
C,10000,50,best,8,6e-08
C,10000,50,best,9,9.6e-08
C,10000,50,best,10,7.8e-08
C,10000,50,best,11,6.9e-08
C,10000,50,best,12,5.9e-08
C,10000,50,best,13,6.8e-08
C,10000,50,best,14,6e-08
C,10000,50,best,15,1.01e-07
C,10000,50,best,16,9e-08
C,10000,50,best,17,9e-08
C,10000,50,best,18,5.9e-08
C,10000,50,best,19,8.6e-08
C,10000,50,best,20,1.13e-07
C,10000,50,best,21,7.4e-08
C,10000,50,best,22,6.6e-08
C,10000,50,best,23,5.6e-08
C,10000,50,best,24,6.6e-08
C,10000,50,best,25,7.1e-08
Python,10000,50,average,1,0.0018648380000740872
Python,10000,50,average,2,0.0017794109999158536
Python,10000,50,average,3,0.0017699209997772414
Python,10000,50,average,4,0.001722942000014882
Python,10000,50,average,5,0.0018072150000989495
Python,10000,50,average,6,0.0017041010000866663
Python,10000,50,average,7,0.0017487680001977424
Python,10000,50,average,8,0.001718894000077853
Python,10000,50,average,9,0.0017137760000878188
Python,10000,50,average,10,0.0017527449999761302
Python,10000,50,average,11,0.0017210510000040813
Python,10000,50,average,12,0.0018652389999260777
Python,10000,50,average,13,0.001721990999612899
Python,10000,50,average,14,0.001737789999879169
Python,10000,50,average,15,0.0017523980000078154
Python,10000,50,average,16,0.0016708620000827068
Python,10000,50,average,17,0.0016541609998057538
Python,10000,50,average,18,0.0015724849999969592
Python,10000,50,average,19,0.0016274839999823598
Python,10000,50,average,20,0.0015735669999230595
Python,10000,50,average,21,0.0015832809999665187
Python,10000,50,average,22,0.00157790200000818
Python,10000,50,average,23,0.0015632610002285219
Python,10000,50,average,24,0.0015718120002929936
Python,10000,50,average,25,0.0015697740000177873
C,10000,50,average,1,7.5e-08
C,10000,50,average,2,6.9e-08
C,10000,50,average,3,8.7e-08
C,10000,50,average,4,9.2e-08
C,10000,50,average,5,6.4e-08
C,10000,50,average,6,9e-08
C,10000,50,average,7,1.04e-07
C,10000,50,average,8,5.4e-08
C,10000,50,average,9,8e-08
C,10000,50,average,10,1.01e-07
C,10000,50,average,11,1e-07
C,10000,50,average,12,8.1e-08
C,10000,50,average,13,8.5e-08
C,10000,50,average,14,7.2e-08
C,10000,50,average,15,8e-08
C,10000,50,average,16,7.7e-08
C,10000,50,average,17,8e-08
C,10000,50,average,18,8.9e-08
C,10000,50,average,19,7.7e-08
C,10000,50,average,20,6.6e-08
C,10000,50,average,21,6.5e-08
C,10000,50,average,22,8.3e-08
C,10000,50,average,23,7.5e-08
C,10000,50,average,24,8.1e-08
C,10000,50,average,25,5.5e-08
Python,10000,50,worst,1,0.0024198900000556023
Python,10000,50,worst,2,0.0027091279998785467
Python,10000,50,worst,3,0.0026125199997295567
Python,10000,50,worst,4,0.0023649350000596314
Python,10000,50,worst,5,0.0024780329999885
Python,10000,50,worst,6,0.002496408999832056
Python,10000,50,worst,7,0.0025244180001209315
Python,10000,50,worst,8,0.0022579100000257313
Python,10000,50,worst,9,0.002419284000097832
Python,10000,50,worst,10,0.0022671189999527996
Python,10000,50,worst,11,0.002226636999694165
Python,10000,50,worst,12,0.002290068000093015
Python,10000,50,worst,13,0.0022457579998445
Python,10000,50,worst,14,0.0022480469997390173
Python,10000,50,worst,15,0.0022243490002438193
Python,10000,50,worst,16,0.002209365999988222
Python,10000,50,worst,17,0.0022156170002745057
Python,10000,50,worst,18,0.0022361279998222017
Python,10000,50,worst,19,0.002221221000127116
Python,10000,50,worst,20,0.0022414029999708873
Python,10000,50,worst,21,0.0022447300002568227
Python,10000,50,worst,22,0.0022635519999312237
Python,10000,50,worst,23,0.002232023000033223
Python,10000,50,worst,24,0.002202212000156578
Python,10000,50,worst,25,0.002248753999992914
C,10000,50,worst,1,6.9e-08
C,10000,50,worst,2,5.4e-08
C,10000,50,worst,3,1.02e-07
C,10000,50,worst,4,6e-08
C,10000,50,worst,5,8.9e-08
C,10000,50,worst,6,7e-08
C,10000,50,worst,7,7.3e-08
C,10000,50,worst,8,9.1e-08
C,10000,50,worst,9,9.4e-08
C,10000,50,worst,10,6.7e-08
C,10000,50,worst,11,6e-08
C,10000,50,worst,12,1.07e-07
C,10000,50,worst,13,8e-08
C,10000,50,worst,14,1e-07
C,10000,50,worst,15,8.7e-08
C,10000,50,worst,16,7.4e-08
C,10000,50,worst,17,7.7e-08
C,10000,50,worst,18,7e-08
C,10000,50,worst,19,8.9e-08
C,10000,50,worst,20,5.8e-08
C,10000,50,worst,21,1.17e-07
C,10000,50,worst,22,5.1e-08
C,10000,50,worst,23,1.08e-07
C,10000,50,worst,24,1.04e-07
C,10000,50,worst,25,1.17e-07
Python,10000,200,best,1,0.0018756340000436467
Python,10000,200,best,2,0.00186562299995785
Python,10000,200,best,3,0.0018395790002614376
Python,10000,200,best,4,0.00318431599998803
Python,10000,200,best,5,0.003641594000328041
Python,10000,200,best,6,0.003383952000149293
Python,10000,200,best,7,0.0033123260000138544
Python,10000,200,best,8,0.0019768750003095192
Python,10000,200,best,9,0.0017922619999808376
Python,10000,200,best,10,0.0017408869998689624
Python,10000,200,best,11,0.001884907000203384
Python,10000,200,best,12,0.0018109980001099757
Python,10000,200,best,13,0.0017399449998265482
Python,10000,200,best,14,0.0017811669999900914
Python,10000,200,best,15,0.001654684999721212
Python,10000,200,best,16,0.0017221680000147899
Python,10000,200,best,17,0.0016868029997567646
Python,10000,200,best,18,0.0017120229999818548
Python,10000,200,best,19,0.0016835369997352245
Python,10000,200,best,20,0.0017174160002468852
Python,10000,200,best,21,0.0017212810003002232
Python,10000,200,best,22,0.0016655310000714962
Python,10000,200,best,23,0.0017665810000835336
Python,10000,200,best,24,0.0016867579997779103
Python,10000,200,best,25,0.0016815200001474295
C,10000,200,best,1,8.7e-08
C,10000,200,best,2,9e-08
C,10000,200,best,3,6.9e-08
C,10000,200,best,4,6e-08
C,10000,200,best,5,6.9e-08
C,10000,200,best,6,8e-08
C,10000,200,best,7,1.14e-07
C,10000,200,best,8,6.7e-08
C,10000,200,best,9,9.4e-08
C,10000,200,best,10,9.1e-08
C,10000,200,best,11,6.9e-08
C,10000,200,best,12,8e-08
C,10000,200,best,13,8.9e-08
C,10000,200,best,14,7.9e-08
C,10000,200,best,15,9.8e-08
C,10000,200,best,16,7e-08
C,10000,200,best,17,8.3e-08
C,10000,200,best,18,1.03e-07
C,10000,200,best,19,6e-08
C,10000,200,best,20,1.52e-07
C,10000,200,best,21,9.3e-08
C,10000,200,best,22,8.6e-08
C,10000,200,best,23,6.7e-08
C,10000,200,best,24,6.8e-08
C,10000,200,best,25,6.1e-08
Python,10000,200,average,1,0.0017779089998839481
Python,10000,200,average,2,0.0018974110003000533
Python,10000,200,average,3,0.0018977520003318205
Python,10000,200,average,4,0.0019652119999591378
Python,10000,200,average,5,0.0018492190001779818
Python,10000,200,average,6,0.0019250989998909063
Python,10000,200,average,7,0.0018898200000876386
Python,10000,200,average,8,0.0018813439996847592
Python,10000,200,average,9,0.0018770749998111569
Python,10000,200,average,10,0.0018455260001246643
Python,10000,200,average,11,0.0018274770000061835
Python,10000,200,average,12,0.002116843000294466
Python,10000,200,average,13,0.0018449499998496321
Python,10000,200,average,14,0.0018782330002977687
Python,10000,200,average,15,0.0017067020003196376
Python,10000,200,average,16,0.001844548000008217
Python,10000,200,average,17,0.0017599430002519512
